Time [Minutes](1 to 4 minutes cannot move),GSR  1 [arb],EKG  1 [Arb],Manual values
2:53.20, 36925,  2132,
2:53.40, 36937,  2012,
2:53.60, 36914,  2114,
2:53.80, 36877,  2112,
2:54.00, 36877,  2229,
2:54.20, 36846,  1926,
2:54.40, 36816,  2138,
2:54.60, 36795,  2105,
2:54.80, 36782,  2160,
2:55.00, 36782,  2014,
2:55.20, 36757,  2161,
2:55.40, 36714,  1779,
2:55.60, 36687,  2310,
2:55.80, 36682,  2105,
2:56.00, 36719,  1914,
2:56.20, 36719,  2140,
2:56.40, 36795,  2064,
2:56.60, 36847,  2092,
2:56.80, 36882,  2019,
2:57.00, 36895,  2237,
2:57.20, 36895,  2052,
2:57.40, 36888,  1988,
2:57.60, 36884,  2030,
2:57.80, 36871,  1958,
2:58.00, 36855,  2219,
2:58.20, 36837,  2073,
2:58.40, 36837,  2430,
2:58.60, 36826,  2101,
2:58.80, 36822,  1705,
2:59.00, 36815,  2309,
2:59.20, 36811,  1890,
2:59.40, 36811,  2131,
2:59.60, 36803,  2051,
2:59.80, 36794,  2215,
3:00.00, 36788,  2115,
3:00.20, 36782,  1975,
3:00.40, 36776,  2251,
3:00.60, 36776,  1779,
3:00.80, 36769,  1855,
3:01.00, 36767,  2987,
3:01.20, 36753,  2153,
3:01.40, 36729,  1932,
3:01.60, 36729,  2083,
3:01.80, 36717,  1996,
3:02.00, 36720,  2462,
3:02.20, 36741,  1954,
3:02.40, 36769,  2138,
3:02.60, 36769,  1959,
