Time [Minutes],GSR  1 [arb],EKG  1 [Arb],Manual values
2:53.00, 31385,  2330,
2:53.20, 31383,  2087,
2:53.40, 31383,  1947,
2:53.60, 31382,  2153,
2:53.80, 31380,  1953,
2:54.00, 31377,  2136,
2:54.20, 31372,  2060,
2:54.40, 31366,  2507,
2:54.60, 31366,  2068,
2:54.80, 31360,  2169,
2:55.00, 31355,  2217,
2:55.20, 31349,  2051,
2:55.40, 31340,  2190,
2:55.60, 31340,  2025,
2:55.80, 31332,  2494,
2:56.00, 31325,  2109,
2:56.20, 31319,  2091,
2:56.40, 31319,  2142,
2:56.60, 31320,  2116,
2:56.80, 31320,  2054,
2:57.00, 31317,  2232,
2:57.20, 31315,  2233,
2:57.40, 31311,  2126,
2:57.60, 31305,  2104,
2:57.80, 31305,  1867,
2:58.00, 31301,  2389,
2:58.20, 31297,  2031,
2:58.40, 31291,  2024,
2:58.60, 31288,  2132,
2:58.80, 31288,  2092,
2:59.00, 31284,  2024,
2:59.20, 31279,  2712,
2:59.40, 31276,  2299,
2:59.60, 31272,  2075,
2:59.80, 31267,  2155,
3:00.00, 31267,  2016,
3:00.20, 31267,  2452,
3:00.40, 31265,  1992,
3:00.60, 31264,  2114,
3:00.80, 31265,  2043,
3:01.00, 31265,  2213,
3:01.20, 31259,  2026,
3:01.40, 31261,  2045,
3:01.60, 31251,  2162,
3:01.80, 31238,  2039,
3:02.00, 31227,  2009,
3:02.20, 31227,  1880,
3:02.40, 31210,  2344,
3:02.60, 31206,  2085,
3:02.80, 31204,  2026,
3:03.00, 31205,  2081,
3:03.20, 31205,  2065,
3:03.40, 31205,  1986,
3:03.60, 31204,  2914,
3:03.80, 31202,  2273,
